,just,type,end,start,collumnname,tablename,filename
34,R , N,251,247,POINT TO POINT GNSS MINIMUM ENROUTE ALTITUD,ATS1,
35,L ,AN,258,252,POINT TO POINT GNSS MINIMUM ENROUTE DIRECTI,ATS1,
36,R ,AN,263,259,POINT TO POINT GNSS MINIMUM ENROUTE ALTITUD,ATS1,
37,L ,AN,270,264,POINT TO POINT GNSS MINIMUM ENROUTE DIRECTI,ATS1,
38,L ,AN,320,271,MINIMUM CROSSING ALTITUDE (MCA) POINT,ATS1,
39,R , N,325,321,POINT TO POINT DME/DME/IRU MINIMUM ENROUTE ,ATS1,
40,L ,AN,331,326,POINT TO POINT DME/DME/IRU MINIMUM ENROUTE ,ATS1,
41,R ,AN,336,332,POINT TO POINT DME/DME/IRU MINIMUM ENROUTE ,ATS1,
42,L ,AN,342,337,POINT TO POINT DME/DME/IRU MINIMUM ENROUTE ,ATS1,
43,L ,AN,343,343,DOGLEG(Y/N) (A TURN POINT NOT AT A NAVAID),ATS1,
44,R , N,350,344,RECORD SORT SEQUENCE NUMBER,ATS1,
45,L ,AN,4,1,RECORD TYPE INDICATOR.,ATS2,
46,L ,AN,6,5,ATS AIRWAY DESIGNATION.,ATS2,
47,L ,AN,18,7,ATS AIRWAY ID,ATS2,
48,L ,AN,19,19,RNAV INDICATOR,ATS2,
49,L ,AN,20,20,ATS AIRWAY TYPE.,ATS2,
50,R , N,25,21,AIRWAY POINT SEQUENCE NUMBER.,ATS2,
51,L ,AN,65,26,NAVAID FACILITY/FIX NAME,ATS2,
52,L ,AN,90,66,NAVAID FACILITY/FIX TYPE,ATS2,
53,L ,AN,105,91,FIX TYPE - PUBLICATION CATEGORY,ATS2,
54,L ,AN,107,106,NAVAID FACILITY/FIX STATE P. O. CODE,ATS2,
55,L ,AN,109,108,ICAO REGION CODE - For FIX,ATS2,
56,L ,AN,123,110,NAVAID FACILITY/FIX LATITUDE,ATS2,
57,L ,AN,137,124,NAVAID FACILITY/FIX LONGITUDE,ATS2,
58,L ,AN,142,138,FIX MINIMUM RECEPTION ALTITUDE(MRA),ATS2,
59,L ,AN,146,143,"NAVAID IDENTIFIER EX: STS, HVR",ATS2,
60,L ,AN,203,147,RESERVED(FROM POINT-PART95),ATS2,
61,L ,AN,343,204,BLANKS,ATS2,
62,R , N,350,344,RECORD SORT SEQUENCE NUMBER,ATS2,
63,L ,AN,4,1,RECORD TYPE INDICATOR.,ATS3,
64,L ,AN,6,5,ATS AIRWAY DESIGNATION.,ATS3,
65,L ,AN,18,7,ATS AIRWAY ID,ATS3,
66,L ,AN,19,19,RNAV INDICATOR,ATS3,
67,L ,AN,20,20,ATS AIRWAY TYPE.,ATS3,
68,R , N,25,21,AIRWAY POINT SEQUENCE NUMBER,ATS3,
69,L ,AN,55,26,NAVAID FACILITY NAME,ATS3,
70,L ,AN,80,56,NAVAID FACILITY TYPE,ATS3,
71,L ,AN,82,81,NAVAID FACILITY STATE P. O. CODE,ATS3,
72,L ,AN,96,83,NAVAID FACILITY LATITUDE,ATS3,
73,L ,AN,110,97,NAVAID FACILITY LONGITUDE,ATS3,
74,L ,AN,343,111,BLANKS,ATS3,
75,R , N,350,344,RECORD SORT SEQUENCE NUMBER,ATS3,
76,L ,AN,4,1,RECORD TYPE INDICATOR.,ATS4,
77,L ,AN,6,5,ATS AIRWAY DESIGNATION.,ATS4,
78,L ,AN,18,7,ATS AIRWAY ID,ATS4,
79,L ,AN,19,19,RNAV INDICATOR,ATS4,
80,L ,AN,20,20,ATS AIRWAY TYPE.,ATS4,
81,R , N,25,21,AIRWAY POINT SEQUENCE NUMBER,ATS4,
82,L ,AN,225,26,REMARKS TEXT,ATS4,
83,L ,AN,343,226,BLANKS,ATS4,
84,R , N,350,344,RECORD SORT SEQUENCE NUMBER,ATS4,
85,L ,AN,4,1,RECORD TYPE INDICATOR.,ATS5,
86,L ,AN,6,5,ATS AIRWAY DESIGNATION.,ATS5,
87,L ,AN,18,7,ATS AIRWAY ID,ATS5,
88,L ,AN,19,19,RNAV INDICATOR,ATS5,
89,L ,AN,20,20,AIRWAY TYPE.,ATS5,
90,R , N,25,21,AIRWAY POINT SEQUENCE NUMBER,ATS5,
91,L ,AN,225,26,REMARKS TEXT,ATS5,
92,L ,AN,343,226,BLANKS,ATS5,
93,R , N,350,344,RECORD SORT SEQUENCE NUMBER,ATS5,
94,L ,AN,4,1,RECORD TYPE INDICATOR.,RMK,
95,L ,AN,6,5,ATS AIRWAY DESIGNATION.,RMK,
96,L ,AN,18,7,ATS AIRWAY ID,RMK,
97,L ,AN,19,19,RNAV INDICATOR,RMK,
98,L ,AN,20,20,AIRWAY TYPE.,RMK,
99,R , N,23,21,REMARK SEQUENCE NUMBER,RMK,
100,L ,AN,28,24,REMARK REFERENCE,RMK,
101,L ,AN,228,29,REMARKS TEXT,RMK,
102,L ,AN,343,229,BLANKS,RMK,
103,R , N,350,344,RECORD SORT SEQUENCE NUMBER,RMK,
