,just,type,end,start,collumnname,tablename,filename
74,L ,AN,99,86,LONGITUDE OF DME TRANSPONDER ANTENNA.,ILS4,
75,L ,AN,110,100,LONGITUDE OF DME TRANSPONDER ANTENNA.,ILS4,
76,L ,AN,112,111,CODE INDICATING SOURCE OF LATITUDE/LONGITUD,ILS4,
77,R , N,119,113,DISTANCE OF DME TRANSMITTER ANTENNA,ILS4,
78,R , N,123,120,DISTANCE OF DME TRANSPONDER ANTENNA,ILS4,
79,L ,AN,124,124,DIRECTION OF DME TRANSPONDER ANTENNA,ILS4,
80,L ,AN,126,125,CODE INDICATING SOURCE OF DISTANCE,ILS4,
81,R , N,133,127,SITE ELEVATION OF DME TRANSPONDER ANTENNA,ILS4,
82,L ,AN,137,134,CHANNEL ON WHICH DISTANCE DATA IS TRANSMITT,ILS4,
83,R , N,144,138,DISTANCE OF DME,ILS4,
84,L ,AN,378,145,BLANK.,ILS4,
85,L ,AN,4,1,RECORD TYPE INDICATOR.,ILS5,
86,L ,AN,15,5,AIRPORT SITE NUMBER IDENTIFIER. (EX. 04508.,ILS5,
87,L ,AN,18,16,"ILS RUNWAY END IDENTIFIER. (EX: 18,36L)",ILS5,
88,L ,AN,28,19,ILS SYSTEM TYPE (SEE ILS1 RECORD TYPE FOR L,ILS5,
89,L ,AN,30,29,"MARKER TYPE (IM - INNER MARKER, MM - MIDDLE",ILS5,
90,L ,AN,52,31,OPERATIONAL STATUS OF MARKER BEACON (OPERAT,ILS5,
91,L ,AN,62,53,EFFECTIVE DATE OF MARKER BEACON OPERATIONAL,ILS5,
92,L ,AN,76,63,LATITUDE OF MARKER BEACON. (FORMATTED),ILS5,
93,L ,AN,87,77,LATITUDE OF MARKER BEACON. (ALL SECONDS),ILS5,
94,L ,AN,101,88,LONGITUDE OF MARKER BEACON. (FORMATTED),ILS5,
95,L ,AN,112,102,LONGITUDE OF MARKER BEACON. (ALL SECONDS),ILS5,
96,L ,AN,114,113,CODE INDICATING SOURCE OF LATITUDE/LONGITUD,ILS5,
97,R , N,121,115,DISTANCE OF MARKER BEACON,ILS5,
98,R , N,125,122,DISTANCE OF MARKER BEACON,ILS5,
99,L ,AN,126,126,DIRECTION OF MARKER BEACON,ILS5,
100,L ,AN,128,127,CODE INDICATING SOURCE OF DISTANCE,ILS5,
101,R , N,135,129,SITE ELEVATION OF MARKER BEACON,ILS5,
102,L ,AN,150,136,FACILITY/TYPE OF MARKER/LOCATOR.,ILS5,
103,L ,AN,152,151,LOCATION IDENTIFIER OF BEACON AT MARKER.,ILS5,
104,L ,AN,182,153,NAME OF THE MARKER LOCATOR BEACON.,ILS5,
105,R , N,185,183,FREQUENCY OF LOCATOR BEACON AT MIDDLE MARKE,ILS5,
106,L ,AN,210,186,LOCATION IDENTIFIER*NAVAID TYPE OF NAVIGATI,ILS5,
107,L ,AN,232,211,LOW POWERED NDB STATUS OF MARKER BEACON,ILS5,
108,L ,AN,262,233,SERVICE PROVIDED BY MARKER.,ILS5,
109,L ,AN,378,263,BLANK.,ILS5,
110,L ,AN,4,1,RECORD TYPE INDICATOR.,ILS6,
111,L ,AN,15,5,AIRPORT SITE NUMBER IDENTIFIER,ILS6,
112,L ,AN,18,16,ILS RUNWAY END IDENTIFIER.,ILS6,
113,L ,AN,28,19,ILS SYSTEM TYPE (SEE ILS1 RECORD FOR DESCRI,ILS6,
114,L ,AN,378,29,"ILS REMARKS, FREE-FORM TEXT.",ILS6,
