,just,type,end,start,collumnname,tablename,filename
26,L ,AN,135,135,GAP IN SIGNAL COVERAGE INDICATOR,AWY1,
27,L ,AN,136,136,U.S. AIRSPACE ONLY INDICATOR,AWY1,
28,R ,A ,141,137,NAVAID MAGNETIC VARIATION,AWY1,
29,L ,AN,144,142,NAVAID/FIX ARTCC - - - EX: ZTL,AWY1,
30,L ,AN,177,145,RESERVED(TO POINT-PART95),AWY1,
31,L ,AN,217,178,RESERVED(NEXT MEA POINT-PART95),AWY1,
32,R , N,222,218,POINT TO POINT GNSS MINIMUM ENROUTE ALTITUD,AWY1,
33,L ,AN,228,223,POINT TO POINT GNSS MINIMUM ENROUTE DIRECTI,AWY1,
34,R ,AN,233,229,POINT TO POINT GNSS MINIMUM ENROUTE ALTITUD,AWY1,
35,L ,AN,239,234,POINT TO POINT GNSS MINIMUM ENROUTE DIRECTI,AWY1,
36,L ,AN,279,240,MINIMUM CROSSING ALTITUDE (MCA) POINT,AWY1,
37,R , N,284,280,POINT TO POINT DME/DME/IRU MINIMUM ENROUTE ,AWY1,
38,L ,AN,290,285,POINT TO POINT DME/DME/IRU MINIMUM ENROUTE ,AWY1,
39,R ,AN,295,291,POINT TO POINT DME/DME/IRU MINIMUM ENROUTE ,AWY1,
40,L ,AN,301,296,POINT TO POINT DME/DME/IRU MINIMUM ENROUTE ,AWY1,
41,L ,AN,302,302,DOGLEG(Y/N) (A TURN POINT NOT AT A NAVAID -,AWY1,
42,R , N,309,303,RECORD SORT SEQUENCE NUMBER,AWY1,
43,L ,AN,4,1,RECORD TYPE INDICATOR.,AWY2,
44,L ,AN,9,5,AIRWAY DESIGNATION.,AWY2,
45,L ,AN,10,10,AIRWAY TYPE.,AWY2,
46,R , N,15,11,AIRWAY POINT SEQUENCE NUMBER.,AWY2,
47,L ,AN,45,16,NAVAID FACILITY/FIX NAME,AWY2,
48,L ,AN,64,46,NAVAID FACILITY/FIX TYPE,AWY2,
49,L ,AN,79,65,FIX TYPE - PUBLICATION CATEGORY,AWY2,
50,L ,AN,81,80,NAVAID FACILITY/FIX STATE P. O. CODE,AWY2,
51,L ,AN,83,82,ICAO REGION CODE - FOR FIX,AWY2,
52,L ,AN,97,84,NAVAID FACILITY/FIX LATITUDE,AWY2,
53,L ,AN,111,98,NAVAID FACILITY/FIX LONGITUDE,AWY2,
54,L ,AN,116,112,FIX MINIMUM RECEPTION ALTITUDE(MRA),AWY2,
55,L ,AN,120,117,"NAVAID IDENTIFIER EX: STS, HVR",AWY2,
56,L ,AN,160,121,RESERVED(FROM POINT-PART95),AWY2,
57,L ,AN,302,161,BLANKS,AWY2,
58,R , N,309,303,RECORD SORT SEQUENCE NUMBER,AWY2,
59,L ,AN,4,1,RECORD TYPE INDICATOR.,AWY3,
60,L ,AN,9,5,AIRWAY DESIGNATION.,AWY3,
61,L ,AN,10,10,AIRWAY TYPE.,AWY3,
62,R , N,15,11,AIRWAY POINT SEQUENCE NUMBER,AWY3,
63,L ,AN,45,16,NAVAID FACILITY NAME,AWY3,
64,L ,AN,64,46,NAVAID FACILITY TYPE,AWY3,
65,L ,AN,66,65,NAVAID FACILITY STATE P. O. CODE,AWY3,
66,L ,AN,80,67,NAVAID FACILITY LATITUDE,AWY3,
67,L ,AN,94,81,NAVAID FACILITY LONGITUDE,AWY3,
68,L ,AN,302,95,BLANKS,AWY3,
69,R , N,309,303,RECORD SORT SEQUENCE NUMBER,AWY3,
70,L ,AN,4,1,RECORD TYPE INDICATOR.,AWY4,
71,L ,AN,9,5,AIRWAY DESIGNATION.,AWY4,
72,L ,AN,10,10,AIRWAY TYPE.,AWY4,
73,R , N,15,11,AIRWAY POINT SEQUENCE NUMBER,AWY4,
74,L ,AN,217,16,REMARKS TEXT,AWY4,
75,L ,AN,302,218,BLANKS,AWY4,
76,R , N,309,303,RECORD SORT SEQUENCE NUMBER,AWY4,
77,L ,AN,4,1,RECORD TYPE INDICATOR.,AWY5,
78,L ,AN,9,5,AIRWAY DESIGNATION.,AWY5,
79,L ,AN,10,10,AIRWAY TYPE.,AWY5,
80,R , N,15,11,AIRWAY POINT SEQUENCE NUMBER,AWY5,
81,L , N,217,16,REMARKS TEXT,AWY5,
82,L ,AN,302,218,BLANKS,AWY5,
83,R , N,309,303,RECORD SORT SEQUENCE NUMBER,AWY5,
84,L ,AN,4,1,RECORD TYPE INDICATOR.,RMK,
85,L ,AN,9,5,AIRWAY DESIGNATION.,RMK,
86,L ,AN,10,10,AIRWAY TYPE.,RMK,
87,R , N,13,11,REMARK SEQUENCE NUMBER,RMK,
88,L ,AN,19,14,REMARK REFERENCE,RMK,
89,L ,AN,239,20,REMARKS TEXT,RMK,
90,L ,AN,302,240,BLANKS,RMK,
91,R , N,309,303,RECORD SORT SEQUENCE NUMBER,RMK,
